iteration,inputs.1,inputs.0,inputs.iC,scale.1,rel.r1,b.1,b.2,rates.k1sum,rates.k1,rates.k2,rates.k3,rates.k4,rates.k5,rates.kC,irf.center,irf.width,irf.dispc,irf.disp1,irf.disp2,irf.disp3
0.0,1.0,0.0,1.0,1.0,1.0,-1.5141277326297755,-0.2484613592984996,2.2512327212665717,0.7371049886367964,2.0027713619680725,-0.7257276053082433,-3.299668396953127,-3.9483810200157556,4.59511985013459,1.19809,0.05843,550.0,0.3089571,-0.0833899,0.0047
0.0,1.0,0.0,1.0,1.0,1.0,-1.5141277326297755,-0.2484613592984996,2.2512327212665717,0.7371049886367964,2.0027713619680725,-0.7257276053082432,-3.299668396953127,-3.9483810200157556,4.59511985013459,1.19809,0.05843,550.0,0.3089571,-0.0833899,0.0047
0.0,1.0,0.0,1.0,1.0,1.0,-1.514127755192037,-0.24846135293478494,2.2512327212665717,0.7371049660745349,2.002771368331787,-0.7257276053082432,-3.299668396953127,-3.9483810200157556,4.59511985013459,1.19809,0.05843,550.0,0.3089571,-0.0833899,0.0047
0.0,1.0,0.0,1.0,1.0,1.0,-1.5141277326297755,-0.2484613592984996,2.2512327212665717,0.7371049886367964,2.0027713619680725,-0.7257276202094045,-3.299668396953127,-3.9483810200157556,4.59511985013459,1.19809,0.05843,550.0,0.3089571,-0.0833899,0.0047
0.0,1.0,0.0,1.0,1.0,1.0,-1.5141277326297755,-0.2484613592984996,2.2512327212665717,0.7371049886367964,2.0027713619680725,-0.7257276053082432,-3.2996684461220176,-3.9483810200157556,4.59511985013459,1.19809,0.05843,550.0,0.3089571,-0.0833899,0.0047
0.0,1.0,0.0,1.0,1.0,1.0,-1.5141277326297755,-0.2484613592984996,2.2512327212665717,0.7371049886367964,2.0027713619680725,-0.7257276053082432,-3.299668396953127,-3.9483810788512175,4.59511985013459,1.19809,0.05843,550.0,0.3089571,-0.0833899,0.0047
0.0,1.0,0.0,1.0,1.0,1.0,-1.5141277326297755,-0.2484613592984996,2.2512327212665717,0.7371049886367964,2.0027713619680725,-0.7257276053082432,-3.299668396953127,-3.9483810200157556,4.59511985013459,1.1980900178529323,0.05843,550.0,0.3089571,-0.0833899,0.0047
0.0,1.0,0.0,1.0,1.0,1.0,-1.5141277326297755,-0.2484613592984996,2.2512327212665717,0.7371049886367964,2.0027713619680725,-0.7257276053082432,-3.299668396953127,-3.9483810200157556,4.59511985013459,1.19809,0.0584300149011612,550.0,0.3089571,-0.0833899,0.0047
0.0,1.0,0.0,1.0,1.0,1.0,-1.5141277326297755,-0.2484613592984996,2.2512327212665717,0.7371049886367964,2.0027713619680725,-0.7257276053082432,-3.299668396953127,-3.9483810200157556,4.59511985013459,1.19809,0.05843,550.0,0.3089571149011612,-0.0833899,0.0047
0.0,1.0,0.0,1.0,1.0,1.0,-1.5141277326297755,-0.2484613592984996,2.2512327212665717,0.7371049886367964,2.0027713619680725,-0.7257276053082432,-3.299668396953127,-3.9483810200157556,4.59511985013459,1.19809,0.05843,550.0,0.3089571,-0.0833899149011612,0.0047
