iteration,rates.k1,rates.k2,rates.k3,inputs.1,inputs.2,inputs.3,inputs.7,inputs.8,inputs.9,inputs.10,irf.center1,irf.center2,irf.center3,irf.width,irf.dispc,irf.disp1,irf.disp2,scale.1,scale.2,scale.3,pen.1,area.1
0.0,-2.995732273553991,-0.6931471805599453,0.6931471805599453,-0.6931471805599453,-2.975929646257811,-1.3783261914707137,-2.954590330222816,-1.5141277326297755,-2.952672784093544,-1.5141277326297755,0.4,0.4,0.4,0.06,500.0,0.01,0.001,1.0,1.3,1.1,1.0,1.0
0.0,-2.995732273553991,-0.6931471805599453,0.6931471805599453,-0.6931471805599453,-2.975929646257811,-1.3783261914707137,-2.954590330222816,-1.5141277326297755,-2.952672784093544,-1.5141277326297755,0.4,0.4,0.4,0.06,500.0,0.01,0.001,1.0,1.3,1.1,1.0,1.0
0.0,-2.9957323181938804,-0.6931471805599453,0.6931471805599453,-0.6931471805599453,-2.975929646257811,-1.3783261914707137,-2.954590330222816,-1.5141277326297755,-2.952672784093544,-1.5141277326297755,0.4,0.4,0.4,0.06,500.0,0.01,0.001,1.0,1.3,1.1,1.0,1.0
0.0,-2.995732273553991,-0.6931471954611064,0.6931471805599453,-0.6931471805599453,-2.975929646257811,-1.3783261914707137,-2.954590330222816,-1.5141277326297755,-2.952672784093544,-1.5141277326297755,0.4,0.4,0.4,0.06,500.0,0.01,0.001,1.0,1.3,1.1,1.0,1.0
0.0,-2.995732273553991,-0.6931471805599453,0.6931471954611064,-0.6931471805599453,-2.975929646257811,-1.3783261914707137,-2.954590330222816,-1.5141277326297755,-2.952672784093544,-1.5141277326297755,0.4,0.4,0.4,0.06,500.0,0.01,0.001,1.0,1.3,1.1,1.0,1.0
0.0,-2.995732273553991,-0.6931471805599453,0.6931471805599453,-0.6931471805599453,-2.9759296906026185,-1.3783261914707137,-2.954590330222816,-1.5141277326297755,-2.952672784093544,-1.5141277326297755,0.4,0.4,0.4,0.06,500.0,0.01,0.001,1.0,1.3,1.1,1.0,1.0
0.0,-2.995732273553991,-0.6931471805599453,0.6931471805599453,-0.6931471805599453,-2.975929646257811,-1.3783262120093744,-2.954590330222816,-1.5141277326297755,-2.952672784093544,-1.5141277326297755,0.4,0.4,0.4,0.06,500.0,0.01,0.001,1.0,1.3,1.1,1.0,1.0
0.0,-2.995732273553991,-0.6931471805599453,0.6931471805599453,-0.6931471805599453,-2.975929646257811,-1.3783261914707137,-2.9545903742496424,-1.5141277326297755,-2.952672784093544,-1.5141277326297755,0.4,0.4,0.4,0.06,500.0,0.01,0.001,1.0,1.3,1.1,1.0,1.0
0.0,-2.995732273553991,-0.6931471805599453,0.6931471805599453,-0.6931471805599453,-2.975929646257811,-1.3783261914707137,-2.954590330222816,-1.514127755192037,-2.952672784093544,-1.5141277326297755,0.4,0.4,0.4,0.06,500.0,0.01,0.001,1.0,1.3,1.1,1.0,1.0
0.0,-2.995732273553991,-0.6931471805599453,0.6931471805599453,-0.6931471805599453,-2.975929646257811,-1.3783261914707137,-2.954590330222816,-1.5141277326297755,-2.952672828091797,-1.5141277326297755,0.4,0.4,0.4,0.06,500.0,0.01,0.001,1.0,1.3,1.1,1.0,1.0
0.0,-2.995732273553991,-0.6931471805599453,0.6931471805599453,-0.6931471805599453,-2.975929646257811,-1.3783261914707137,-2.954590330222816,-1.5141277326297755,-2.952672784093544,-1.514127755192037,0.4,0.4,0.4,0.06,500.0,0.01,0.001,1.0,1.3,1.1,1.0,1.0
